구분별(3),2025,2025,2025,2025,2025
구분별(3),거의 먹지 않음,2주일에 1번,1주일에 1~3번,1주일에 4~6번,하루에 1회 이상
소계,20.3,42,33.2,4.4,0.2
남성,19,40.4,35.8,4.6,0.1
여성,21.4,43.4,30.8,4.2,0.2
 만 18~29세,4.3,31.8,56,7.8,-
30대,7.3,42.1,42.4,7.8,0.4
40대,13.4,45.7,38,2.8,0.1
50대,20.9,46.5,28.8,3.6,0.2
60대,36.6,44.1,17.2,1.9,0.1
70대 이상,46.3,41.6,10.4,1.6,-
중졸 이하,46,42.3,9.7,2,-
고졸,26.1,46,24.8,3.1,0.1
 대학입학 이상,12.2,39.8,42.2,5.5,0.2
 1인 가구,20,34.3,39.6,5.8,0.3
 부부 가구,24.2,47,24.6,4.1,0.2
 2세대 이상 가구,18.8,44,33.3,3.8,0.1
 기타 가구,8.7,49.1,42.2,-,-
 관리/전문/사무직,11.8,41.2,42,4.7,0.2
 서비스/판매직,19.3,43.3,32.3,4.9,0.2
 기능/노무직,28.4,41.6,27.4,2.6,-
 학생,-,36.2,54.6,9.2,-
 주부,31,44.8,20.9,3.2,0.1
무직/기타,52.6,37.1,9,1.3,-
 상용직 임금근로자,12.9,43.2,39.1,4.6,0.2
임시 및 일용직 임금근로자,20.4,39.2,34.3,6.1,-
 자영업자,32.8,39.7,24.8,2.6,0.1
 기타,25.8,49.4,20.8,4,-
 200만원 미만,45.3,33.5,19.1,2.1,-
 200~350만원 미만,19.8,36.1,38.4,5.3,0.3
 350~500만원 미만,13.7,40,41.4,4.6,0.2
 500~700만원 미만,16.5,47.1,31.1,5.3,-
 700만원 이상,20.7,48.8,27.7,2.6,0.2
